network,infection_probability,source_vertex,mean_total_infected,median_total_infected,variance_total_infected,std_total_infected,skewness_total_infected,min_total_infected,max_total_infected,mean_final_tick
graf_generat_100_1000,0.01,44,1.28,1.0,0.547070707070707,0.739642283182017,3.1665110069787334,1,5,1.23
graf_generat_100_1000,0.01,58,1.28,1.0,0.48646464646464643,0.697470176039554,2.6535464988726907,1,4,1.24
graf_generat_100_1000,0.01,60,1.28,1.0,0.425858585858586,0.652578413570803,2.759036921338464,1,4,1.26
graf_generat_100_1000,0.01,61,1.28,1.0,0.526868686868687,0.725857208319024,3.072227874032945,1,5,1.27
graf_generat_100_1000,0.01,63,1.28,1.0,0.38545454545454555,0.6208498574168682,2.315051587611217,1,4,1.26
graf_generat_100_1000,0.01,80,1.28,1.0,0.3248484848484849,0.5699548094792121,2.2707819090869146,1,4,1.25
graf_generat_100_1000,0.01,83,1.28,1.0,0.4864646464646466,0.6974701760395541,3.200353805762051,1,5,1.25
graf_generat_100_1000,0.01,91,1.28,1.0,0.425858585858586,0.652578413570803,2.981568612632376,1,5,1.25
graf_generat_100_1000,0.01,19,1.27,1.0,0.40111111111111103,0.6333333333333333,2.63186025646193,1,4,1.23
graf_generat_100_1000,0.01,40,1.27,1.0,0.40111111111111114,0.6333333333333333,2.631860256461927,1,4,1.24
graf_generat_100_1000,0.01,47,1.27,1.0,0.3607070707070707,0.600588936550675,2.383974912616858,1,4,1.22
graf_generat_100_1000,0.01,59,1.27,1.0,0.582929292929293,0.7634980634744878,4.0825753764918336,1,6,1.22
graf_generat_100_1000,0.01,70,1.27,1.0,0.48191919191919214,0.6942039987778752,3.2776632090242037,1,5,1.23
graf_generat_100_1000,0.01,93,1.27,1.0,1.8152525252525247,1.3473130761825645,8.746794115423176,1,14,1.2
graf_generat_100_1000,0.01,18,1.26,1.0,0.35595959595959603,0.5966234959835189,2.4633051534980677,1,4,1.23
graf_generat_100_1000,0.01,24,1.26,1.0,0.45696969696969714,0.6759953379792624,3.4352307435460485,1,5,1.23
graf_generat_100_1000,0.01,13,1.25,1.0,0.3106060606060606,0.5573204290227127,2.5230947077489048,1,4,1.24
graf_generat_100_1000,0.01,4,1.24,1.0,0.40646464646464625,0.6375457995035699,3.565575739989424,1,5,1.23
graf_generat_100_1000,0.01,12,1.24,1.0,0.30545454545454553,0.552679423766206,2.6158748429429806,1,4,1.23
graf_generat_100_1000,0.01,25,1.24,1.0,0.3054545454545453,0.5526794237662058,2.615874842942983,1,4,1.21
graf_generat_100_1000,0.01,48,1.24,1.0,0.3054545454545454,0.5526794237662059,2.6158748429429823,1,4,1.21
graf_generat_100_1000,0.01,82,1.24,1.0,0.4468686868686868,0.6684823758848746,3.407775943517378,1,5,1.17
graf_generat_100_1000,0.01,10,1.23,1.0,0.32030303030303015,0.5659532050470517,2.723726508823674,1,4,1.21
graf_generat_100_1000,0.01,17,1.23,1.0,0.32030303030303026,0.5659532050470518,2.7237265088236713,1,4,1.21
graf_generat_100_1000,0.01,38,1.23,1.0,0.27989898989899004,0.5290548080293667,2.2735165620342186,1,3,1.22
graf_generat_100_1000,0.01,62,1.23,1.0,0.30010101010101004,0.5478147589295218,2.7136817382164686,1,4,1.2
graf_generat_100_1000,0.01,72,1.23,1.0,0.30010101010101015,0.5478147589295218,2.7136817382164655,1,4,1.23
graf_generat_100_1000,0.01,73,1.23,1.0,0.4213131313131315,0.6490863820117716,3.5807201897626326,1,5,1.21
graf_generat_100_1000,0.01,41,1.22,1.0,0.31474747474747483,0.561023595535406,2.82337031387009,1,4,1.2
graf_generat_100_1000,0.01,46,1.22,1.0,0.23393939393939395,0.4836728170358491,2.154306484455021,1,3,1.21
graf_generat_100_1000,0.01,56,1.22,1.0,0.25414141414141417,0.5041244034376973,2.279113790592984,1,3,1.21
graf_generat_100_1000,0.01,67,1.22,1.0,0.2541414141414142,0.5041244034376974,2.7618132548832617,1,4,1.22
graf_generat_100_1000,0.01,78,1.22,1.0,0.4561616161616162,0.6753973764841082,4.119296855531098,1,5,1.17
graf_generat_100_1000,0.01,79,1.22,1.0,0.2945454545454546,0.5427204202399746,2.817009494117825,1,4,1.19
graf_generat_100_1000,0.01,55,1.21,1.0,0.41000000000000003,0.6403124237432849,3.317653001358373,1,4,1.19
graf_generat_100_1000,0.01,81,1.21,1.0,0.2685858585858587,0.5182526976156118,2.911734842591264,1,4,1.2
graf_generat_100_1000,0.01,9,1.2,1.0,0.2828282828282828,0.5318160234783105,3.0425480435251733,1,4,1.2
graf_generat_100_1000,0.01,14,1.2,1.0,0.2626262626262627,0.5124707431905383,3.0326806871214016,1,4,1.19
graf_generat_100_1000,0.01,20,1.2,1.0,0.3030303030303031,0.5504818825631803,3.0400081106448282,1,4,1.17
graf_generat_100_1000,0.01,57,1.2,1.0,0.3030303030303032,0.5504818825631804,4.1522061999051285,1,5,1.19
graf_generat_100_1000,0.01,86,1.2,1.0,0.24242424242424246,0.49236596391733095,2.486950532031416,1,3,1.19
graf_generat_100_1000,0.01,90,1.2,1.0,0.2828282828282829,0.5318160234783105,3.042548043525174,1,4,1.18
graf_generat_100_1000,0.01,94,1.2,1.0,0.3838383838383837,0.6195469181897233,4.004866999853242,1,5,1.2
graf_generat_100_1000,0.01,11,1.19,1.0,0.2766666666666666,0.5259911279353167,4.441027696485651,1,5,1.17
graf_generat_100_1000,0.01,39,1.19,1.0,0.2766666666666667,0.5259911279353168,3.1661281156643377,1,4,1.17
graf_generat_100_1000,0.01,28,1.18,1.0,0.20969696969696972,0.4579268169663901,3.2422721581413843,1,4,1.17
graf_generat_100_1000,0.01,53,1.18,1.0,0.27030303030303027,0.5199067515459193,3.2979986793710023,1,4,1.18
graf_generat_100_1000,0.01,54,1.18,1.0,0.2096969696969697,0.45792681696639004,2.5982486085344045,1,3,1.17
graf_generat_100_1000,0.01,69,1.18,1.0,0.18949494949494955,0.43531017619043727,2.4098690292692577,1,3,1.16
graf_generat_100_1000,0.01,77,1.18,1.0,0.20969696969696972,0.4579268169663901,3.242272158141386,1,4,1.18
graf_generat_100_1000,0.01,84,1.18,1.0,0.22989898989898977,0.4794778304562055,3.2844811787459203,1,4,1.16
graf_generat_100_1000,0.01,85,1.18,1.0,0.2298989898989898,0.47947783045620557,3.284481178745922,1,4,1.16
graf_generat_100_1000,0.01,88,1.18,1.0,0.20969696969696972,0.4579268169663901,3.2422721581413865,1,4,1.18
graf_generat_100_1000,0.01,89,1.18,1.0,0.2501010101010101,0.5001009999000303,3.300114756266437,1,4,1.17
graf_generat_100_1000,0.01,16,1.17,1.0,0.2637373737373737,0.5135536717202728,3.8957259762479395,1,4,1.15
graf_generat_100_1000,0.01,30,1.17,1.0,0.18292929292929297,0.42770234150550657,2.5389500327115404,1,3,1.17
graf_generat_100_1000,0.01,1,1.16,1.0,0.19636363636363638,0.44312936752559784,3.5843018184558892,1,4,1.15
graf_generat_100_1000,0.01,8,1.15,1.0,0.29040404040404033,0.5388914922357193,4.855674088182109,1,5,1.14
graf_generat_100_1000,0.01,7,1.13,1.0,0.15464646464646464,0.3932511470376973,3.187892572044153,1,3,1.12
graf_generat_100_1000,0.01,32,1.13,1.0,0.21525252525252528,0.46395314984653924,4.176794541284356,1,4,1.13
graf_generat_100_1000,0.01,66,1.12,1.0,0.3692929292929294,0.6076947665505515,6.552416695587408,1,6,1.11
graf_generat_100_1000,0.01,0,1.08,1.0,0.09454545454545454,0.30748244591432294,4.149088392369237,1,3,1.07
graf_generat_100_1000,0.01,95,1.08,1.0,0.11474747474747474,0.3387439663632029,4.566859979537919,1,3,1.08
graf_generat_100_1000,0.04,31,5.64,2.0,56.11151515151514,7.49076198737586,2.4119154225768833,1,37,3.33
graf_generat_100_1000,0.04,58,5.47,2.0,60.73646464646465,7.79336029235558,2.9368023481688645,1,45,3.36
graf_generat_100_1000,0.04,34,5.42,2.0,53.559191919191925,7.318414576886986,2.710306275062151,1,39,3.34
graf_generat_100_1000,0.04,83,5.39,2.0,52.15949494949495,7.222153068821994,2.595926775864264,1,42,3.23
graf_generat_100_1000,0.04,99,5.38,2.0,61.753131313131306,7.858316060908425,2.4902605337328825,1,37,3.19
graf_generat_100_1000,0.04,23,5.06,3.0,38.88525252525253,6.235804080088832,2.230221171618504,1,29,3.32
graf_generat_100_1000,0.04,28,5.02,2.0,43.59555555555555,6.602693053259068,2.558634676538075,1,38,3.13
graf_generat_100_1000,0.04,14,4.92,2.0,50.175353535353544,7.083456326917922,3.9370342714851514,1,54,3.14
graf_generat_100_1000,0.04,18,4.92,3.0,29.771313131313143,5.456309479063036,2.614925363528298,1,34,3.23
graf_generat_100_1000,0.04,49,4.92,2.0,49.06424242424242,7.004587241532682,3.157148092743988,1,41,3.06
graf_generat_100_1000,0.04,13,4.89,2.0,53.33121212121213,7.3028222024921385,3.6698421477094905,1,49,2.97
graf_generat_100_1000,0.04,63,4.89,2.0,44.36151515151517,6.660444065639705,2.0982316051778804,1,28,2.89
graf_generat_100_1000,0.04,92,4.89,3.0,36.24030303030303,6.019991946033071,2.3378975971699103,1,30,3.06
graf_generat_100_1000,0.04,46,4.85,2.0,53.563131313131315,7.318683714516656,2.726412977998125,1,37,2.97
graf_generat_100_1000,0.04,38,4.83,2.0,34.93040404040404,5.910194924061646,2.391747427128541,1,34,3.03
graf_generat_100_1000,0.04,52,4.82,2.0,45.66424242424242,6.757532273266804,2.9899526249567914,1,41,3.08
graf_generat_100_1000,0.04,87,4.81,2.0,32.7211111111111,5.720236980327922,2.1901588032542687,1,28,3.22
graf_generat_100_1000,0.04,44,4.8,2.0,37.63636363636364,6.134848297746542,2.326581767952582,1,34,3.09
graf_generat_100_1000,0.04,65,4.78,3.0,33.38545454545455,5.778014758154789,2.340354057388324,1,27,3.09
graf_generat_100_1000,0.04,76,4.74,3.0,24.86101010101009,4.986081638020991,1.9795880345260775,1,24,3.21
graf_generat_100_1000,0.04,80,4.73,2.0,49.91626262626266,7.06514420420862,2.940053855034895,1,38,2.94
graf_generat_100_1000,0.04,20,4.71,2.0,52.95545454545455,7.277049851791215,4.484122952639443,1,57,3.04
graf_generat_100_1000,0.04,22,4.71,3.0,33.25848484848485,5.7670169800759945,2.641996150141683,1,34,3.03
graf_generat_100_1000,0.04,72,4.71,2.0,29.399898989899,5.422167370148122,1.6862492424922833,1,26,2.87
graf_generat_100_1000,0.04,37,4.68,2.0,34.926868686868694,5.909895827074171,2.3885951540971346,1,30,2.9
graf_generat_100_1000,0.04,4,4.56,2.0,38.81454545454545,6.230132057552669,2.719655900724841,1,37,2.8
graf_generat_100_1000,0.04,48,4.56,2.0,33.097373737373736,5.753031699667032,2.3394292212298304,1,29,2.89
graf_generat_100_1000,0.04,51,4.56,2.0,33.84484848484848,5.817632549830599,3.0052637854612945,1,37,2.95
graf_generat_100_1000,0.04,25,4.51,2.0,48.595858585858586,6.97107298669714,2.752453842401019,1,37,2.89
graf_generat_100_1000,0.04,68,4.51,2.0,40.31303030303028,6.34925431078566,2.577195001343258,1,34,2.68
graf_generat_100_1000,0.04,45,4.5,2.0,46.494949494949495,6.818720517439433,3.218099343041774,1,42,2.94
graf_generat_100_1000,0.04,57,4.47,2.0,36.35262626262626,6.029313913093782,2.769443349875335,1,35,2.75
graf_generat_100_1000,0.04,33,4.45,2.0,45.46212121212122,6.742560434443374,3.6620432619590306,1,46,2.82
graf_generat_100_1000,0.04,70,4.45,2.0,32.35101010101011,5.687794836402778,2.6945716276396707,1,29,2.88
graf_generat_100_1000,0.04,64,4.41,2.0,31.476666666666667,5.6104069965258905,2.6796262073872468,1,32,3.1
graf_generat_100_1000,0.04,59,4.35,2.0,33.11868686868688,5.754883740675122,2.2545570108778867,1,28,2.84
graf_generat_100_1000,0.04,97,4.32,2.0,27.351111111111113,5.229828975321383,2.2345798158632593,1,25,2.86
graf_generat_100_1000,0.04,73,4.31,2.0,33.286767676767674,5.769468578367307,2.824076301389727,1,35,2.9
graf_generat_100_1000,0.04,19,4.29,2.0,30.147373737373734,5.490662413349935,2.3875999085709574,1,31,2.92
graf_generat_100_1000,0.04,71,4.28,2.0,23.536969696969695,4.8514914920021965,1.8690416668984537,1,24,2.77
graf_generat_100_1000,0.04,75,4.26,2.0,40.92161616161618,6.397000559763629,4.37698243974084,1,49,2.8
graf_generat_100_1000,0.04,82,4.26,2.0,24.98222222222222,4.998221906060416,2.0734638432733363,1,25,2.97
graf_generat_100_1000,0.04,16,4.24,2.0,39.194343434343445,6.260538589797482,3.3795263775317435,1,37,2.79
graf_generat_100_1000,0.04,78,4.24,2.0,32.608484848484856,5.7103839493054105,2.0639154993916975,1,24,2.75
graf_generat_100_1000,0.04,40,4.13,2.0,22.801111111111116,4.775050901415724,2.648292497611281,1,27,2.91
graf_generat_100_1000,0.04,10,4.09,2.0,36.46656565656566,6.038755306896088,3.626400952156163,1,38,2.76
graf_generat_100_1000,0.04,6,4.06,2.0,26.582222222222224,5.155795013596082,2.7701547196185317,1,32,2.79
graf_generat_100_1000,0.04,3,4.04,2.0,26.382222222222214,5.136362742468859,2.7790699341038856,1,31,2.7
graf_generat_100_1000,0.04,27,4.04,1.5,34.119595959595955,5.841198161301836,2.8647390929166185,1,33,2.63
graf_generat_100_1000,0.04,98,4.04,2.0,23.37212121212122,4.834472175131554,2.5638683375415043,1,27,2.82
graf_generat_100_1000,0.04,35,4.03,2.0,26.41323232323232,5.139380538861889,3.067040839504109,1,34,2.74
graf_generat_100_1000,0.04,5,4.02,2.0,21.292525252525248,4.614382434576186,2.3844502645120422,1,25,2.86
graf_generat_100_1000,0.04,11,4.02,2.0,25.413737373737373,5.041203960735706,3.0102694426854955,1,33,2.77
graf_generat_100_1000,0.04,21,4.0,2.0,31.93939393939396,5.651494841136631,3.3034451538867957,1,35,2.53
graf_generat_100_1000,0.04,96,3.99,2.0,29.868585858585856,5.46521599377242,2.827596328807352,1,31,2.67
graf_generat_100_1000,0.04,0,3.97,2.0,30.33242424242426,5.507488015640548,3.1412969495348637,1,32,2.73
graf_generat_100_1000,0.04,50,3.97,2.0,23.28191919191919,4.82513411128843,2.7905541455091964,1,27,2.8
graf_generat_100_1000,0.04,54,3.91,2.0,37.517070707070694,6.125118015766773,3.5423376403940057,1,40,2.49
graf_generat_100_1000,0.04,79,3.9,2.0,27.383838383838384,5.232956944580987,2.9544663409763343,1,29,2.6
graf_generat_100_1000,0.04,2,3.88,2.0,25.70262626262626,5.069775760586089,2.8896715061544844,1,29,2.58
graf_generat_100_1000,0.04,1,3.86,1.0,39.010505050505046,6.245839018939333,3.2026541594237306,1,36,2.47
graf_generat_100_1000,0.04,7,3.79,2.0,23.763535353535346,4.874785672574267,2.4144538419691894,1,25,2.62
graf_generat_100_1000,0.04,12,3.79,2.0,21.642323232323236,4.652131042041189,3.093055085941257,1,30,2.62
graf_generat_100_1000,0.04,47,3.79,2.0,24.612020202020208,4.961050312385494,2.7449093710348005,1,25,2.56
graf_generat_100_1000,0.04,60,3.79,2.0,29.581717171717155,5.438907718624867,2.567683754799295,1,26,2.44
graf_generat_100_1000,0.04,69,3.75,2.0,25.987373737373737,5.097781256328457,2.934263946561072,1,29,2.53
graf_generat_100_1000,0.04,74,3.74,2.0,30.982222222222212,5.566167642303115,2.97491261415596,1,29,2.53
graf_generat_100_1000,0.04,8,3.72,2.0,28.223838383838395,5.312611258490348,3.050805581919653,1,31,2.56
graf_generat_100_1000,0.04,81,3.71,2.0,19.904949494949502,4.46149632914222,2.335884628351721,1,20,2.53
graf_generat_100_1000,0.04,39,3.7,2.0,19.5050505050505,4.4164522532288855,2.8817582744448007,1,30,2.7
graf_generat_100_1000,0.04,56,3.68,1.0,30.240000000000002,5.499090833947008,3.2504192846601203,1,35,2.49
graf_generat_100_1000,0.04,15,3.61,2.0,18.805959595959592,4.3365838624382205,2.806912722862017,1,27,2.57
graf_generat_100_1000,0.04,94,3.6,2.0,19.878787878787875,4.458563432181702,2.3263268129521157,1,23,2.61
graf_generat_100_1000,0.04,95,3.6,2.0,20.121212121212118,4.485667410900201,2.3781451576614576,1,22,2.56
graf_generat_100_1000,0.04,42,3.53,1.0,17.96878787878787,4.238960707389002,2.0086354714114156,1,18,2.45
graf_generat_100_1000,0.04,43,3.5,2.0,22.53535353535354,4.74714161736866,3.3526172044842086,1,28,2.47
graf_generat_100_1000,0.04,36,3.48,2.0,25.363232323232324,5.036192244467275,3.4387130521889597,1,29,2.44
graf_generat_100_1000,0.04,67,3.44,1.0,23.117575757575757,4.808074017480987,3.3941870291684277,1,32,2.42
graf_generat_100_1000,0.04,41,3.42,1.5,25.377373737373734,5.037596027608182,4.005522715529084,1,35,2.53
graf_generat_100_1000,0.04,89,3.41,1.0,27.618080808080798,5.255290744390913,3.483773823935936,1,32,2.31
graf_generat_100_1000,0.04,77,3.4,1.0,16.767676767676765,4.0948353773597255,1.991990308721183,1,17,2.4
graf_generat_100_1000,0.04,84,3.39,1.0,33.3110101010101,5.771569119486493,3.5236969377732734,1,31,2.22
graf_generat_100_1000,0.04,91,3.37,2.0,18.235454545454548,4.270299116625737,2.5281225958750326,1,21,2.43
graf_generat_100_1000,0.04,29,3.35,2.0,13.361111111111114,3.6552853665768854,2.4599024476815012,1,22,2.46
graf_generat_100_1000,0.04,88,3.34,2.0,13.701414141414144,3.7015421301687415,2.8063198537849448,1,21,2.49
graf_generat_100_1000,0.04,90,3.3,2.0,27.383838383838395,5.232956944580988,4.533139397154688,1,39,2.34
graf_generat_100_1000,0.04,62,3.27,2.0,16.683939393939394,4.084597825238048,2.3714460291556767,1,21,2.46
graf_generat_100_1000,0.04,32,3.22,1.0,21.00161616161616,4.582752029252309,3.0648512329081434,1,27,2.4
graf_generat_100_1000,0.04,9,3.13,1.0,23.346565656565666,4.831828396845822,4.516184973616098,1,38,2.25
graf_generat_100_1000,0.04,55,3.07,1.0,13.035454545454543,3.610464588588918,2.2298763795258916,1,19,2.24
graf_generat_100_1000,0.04,66,3.04,1.0,16.968080808080803,4.119233036389274,3.68433227767997,1,25,2.32
graf_generat_100_1000,0.04,24,3.02,1.0,14.039999999999992,3.7469987990390377,3.0757358596841,1,23,2.27
graf_generat_100_1000,0.04,17,3.01,1.0,16.858484848484856,4.105908528996336,3.1920781370058564,1,27,2.33
graf_generat_100_1000,0.04,85,3.01,1.0,18.232222222222223,4.269920634183055,3.98077155314894,1,30,2.23
graf_generat_100_1000,0.04,26,2.94,1.0,18.299393939393937,4.27777908959707,3.7236158372582415,1,28,2.13
graf_generat_100_1000,0.04,30,2.92,1.0,17.872323232323236,4.227567058288163,4.072403442563933,1,31,2.2
graf_generat_100_1000,0.04,61,2.85,1.0,20.734848484848488,4.553553391017666,4.173970514452281,1,31,2.21
graf_generat_100_1000,0.04,93,2.79,1.0,9.803939393939393,3.1311243018985038,3.2386047360217445,1,22,2.12
graf_generat_100_1000,0.04,53,2.71,2.0,6.672626262626264,2.5831427104645734,2.2329836561598415,1,15,2.17
graf_generat_100_1000,0.04,86,2.6,1.0,17.171717171717173,4.14387707005374,5.515651667893898,1,35,2.0
graf_generat_100_1000,0.1,34,76.2,80.0,320.6868686868688,17.907732092223984,-3.2418527560454815,1,95,10.5
graf_generat_100_1000,0.1,21,73.03,80.0,551.8677777777779,23.49186620466279,-2.5128032055329412,1,92,10.63
graf_generat_100_1000,0.1,70,72.17,81.0,613.879898989899,24.776599827052518,-2.271466079533036,1,93,10.23
graf_generat_100_1000,0.1,98,71.93,80.0,661.1364646464648,25.7125740571897,-2.265171134379169,1,93,10.34
graf_generat_100_1000,0.1,13,71.31,78.0,643.286767676768,25.36309854250399,-2.2604840016629635,1,97,10.33
graf_generat_100_1000,0.1,31,71.0,78.0,577.9595959595958,24.040790252393865,-2.32257355032974,1,93,10.25
graf_generat_100_1000,0.1,47,71.0,80.0,737.1515151515155,27.150534343756764,-2.063163332870837,1,91,9.83
graf_generat_100_1000,0.1,49,70.86,79.5,711.2731313131316,26.669704372435994,-2.0242597655561996,1,92,9.82
graf_generat_100_1000,0.1,48,70.23,80.0,711.2900000000002,26.670020622414228,-2.023839720879433,1,91,10.35
graf_generat_100_1000,0.1,76,70.12,79.0,681.8440404040401,26.11214354288135,-2.1213230567041275,1,94,10.0
graf_generat_100_1000,0.1,11,70.04,79.0,722.7862626262629,26.88468453648402,-2.0390353384567774,1,96,10.24
graf_generat_100_1000,0.1,65,69.85,78.5,673.8459595959596,25.95854309463379,-2.0515931147771105,1,92,10.16
graf_generat_100_1000,0.1,88,69.59,79.0,744.4059595959598,27.283803979576597,-1.9156900942083102,1,91,9.87
graf_generat_100_1000,0.1,35,69.58,79.0,732.973333333333,27.073480258979135,-1.9742607363603162,1,92,9.92
graf_generat_100_1000,0.1,6,69.36,79.5,738.4145454545455,27.173784157797115,-1.958464727235248,1,91,10.16
graf_generat_100_1000,0.1,87,68.86,81.0,846.3842424242428,29.09268365799626,-1.7785933704103483,1,92,9.62
graf_generat_100_1000,0.1,40,68.76,81.0,838.568080808081,28.958040002874522,-1.7659838677938107,1,93,9.69
graf_generat_100_1000,0.1,53,68.55,81.0,911.9267676767673,30.198125234470556,-1.7188066992851414,1,96,9.92
graf_generat_100_1000,0.1,72,68.55,81.0,892.9974747474747,29.88306334276114,-1.715730425980012,1,95,9.41
graf_generat_100_1000,0.1,38,68.44,80.0,804.390303030303,28.361775385724762,-1.794991219520091,1,91,9.65
graf_generat_100_1000,0.1,46,68.37,80.0,830.3162626262624,28.815208877019483,-1.7829544504780337,1,92,9.77
graf_generat_100_1000,0.1,58,68.3,78.0,767.3636363636365,27.701329144350392,-1.9088187048815481,1,89,9.8
graf_generat_100_1000,0.1,82,68.24,80.0,836.0832323232322,28.915103878824855,-1.8066273222537608,1,91,9.82
graf_generat_100_1000,0.1,96,68.24,78.0,723.2751515151516,26.89377533027209,-1.9552256367486192,1,91,9.81
graf_generat_100_1000,0.1,52,68.14,80.0,873.8589898989896,29.561106033079845,-1.7650698663750675,1,91,9.89
graf_generat_100_1000,0.1,43,67.99,80.0,875.2625252525255,29.584836069387396,-1.6815961440984268,1,95,9.88
graf_generat_100_1000,0.1,7,67.78,80.5,917.8298989898992,30.295707600085844,-1.6506520230296982,1,92,9.74
graf_generat_100_1000,0.1,81,67.69,78.5,799.468585858586,28.274875523308427,-1.762148094344393,1,95,9.86
graf_generat_100_1000,0.1,83,67.59,78.0,794.8908080808081,28.1938079741068,-1.7674707071179718,1,95,9.65
graf_generat_100_1000,0.1,25,67.54,80.5,925.0993939393935,30.415446633896295,-1.6436326882922416,1,93,10.06
graf_generat_100_1000,0.1,2,67.52,79.5,868.514747474748,29.470574264420907,-1.726845904810671,1,93,10.25
graf_generat_100_1000,0.1,28,67.39,79.5,851.3312121212117,29.177580642013684,-1.7352203580275665,1,93,10.02
graf_generat_100_1000,0.1,80,67.32,79.0,857.8763636363637,29.289526517790684,-1.7083548445953372,1,93,10.02
graf_generat_100_1000,0.1,68,67.31,79.0,859.7514141414141,29.32151793719783,-1.7319921636131215,1,95,9.89
graf_generat_100_1000,0.1,18,67.07,78.0,859.6617171717176,29.31998835558632,-1.6723405466868524,1,92,9.62
graf_generat_100_1000,0.1,23,66.76,79.0,887.3357575757576,29.788181508372706,-1.650889269541135,1,91,9.45
